3827337000.387	7.602	5.138	1.733	2.475	18.330	18.638	18.731	18.176	17.298	16.572	14.042	15.413
3827337000.397	6.090	4.606	3.035	0.000	18.330	18.638	18.731	18.176	17.298	16.572	14.042	15.413
3827337000.407	5.794	4.923	1.287	0.000	18.310	18.620	18.713	18.200	17.269	16.585	14.079	15.418
3827337000.417	6.985	4.449	2.651	0.000	18.310	18.620	18.713	18.200	17.269	16.585	14.079	15.418
3827337000.427	2.740	5.087	1.989	0.000	18.315	18.596	18.780	18.244	17.412	16.554	14.046	15.385
3827337000.437	7.937	5.188	1.646	0.000	18.315	18.596	18.780	18.244	17.412	16.554	14.046	15.385
3827337000.447	6.768	4.745	2.483	0.000	18.251	18.593	18.802	18.264	17.324	16.555	13.933	15.397
3827337000.457	3.095	4.385	2.416	0.000	18.251	18.593	18.802	18.264	17.324	16.555	13.933	15.397
3827337000.467	6.716	4.223	3.163	0.000	18.280	18.650	18.833	18.309	17.188	16.495	14.005	15.420
3827337000.477	6.841	5.103	2.148	0.000	18.280	18.650	18.833	18.309	17.188	16.495	14.005	15.420
3827337000.487	7.938	4.203	2.852	0.000	18.373	18.616	18.780	18.215	17.125	16.543	14.062	15.466
3827337000.497	6.565	4.663	1.866	0.000	18.373	18.616	18.780	18.215	17.125	16.543	14.062	15.466
3827337000.507	6.616	6.492	2.456	0.000	18.315	18.622	18.732	18.143	17.279	16.564	14.074	15.398
3827337000.517	6.751	4.164	2.279	0.000	18.315	18.622	18.732	18.143	17.279	16.564	14.074	15.398
3827337000.527	4.500	4.709	2.136	0.000	18.295	18.582	18.803	18.295	17.389	16.555	14.019	15.384
3827337000.537	7.120	6.458	3.526	0.000	18.295	18.582	18.803	18.295	17.389	16.555	14.019	15.384
3827337000.547	6.321	4.495	1.333	0.000	18.278	18.596	18.801	18.314	17.303	16.544	13.969	15.400
3827337000.557	5.823	4.653	2.518	0.000	18.278	18.596	18.801	18.314	17.303	16.544	13.969	15.400
